source, target, weight; 
 112, 2511, -0.782300
 112, 2512, -0.764000
 112, 2513, -0.347200
 112, 2521, -0.228400
 112, 2522, -0.521500
 112, 2523, -0.496400
 112, 2524, -0.452400
 112, 2611, -0.777100
 112, 2612, -0.676700
 112, 2613, -0.317000
 112, 2615, -0.531600
 112, 2621, -0.433300
 112, 2622, -0.674500
 112, 2624, -0.145200
 112, 2626, -0.518000
 112, 2630, -0.701200
 112, 2640, -0.464400
 112, 2651, -0.765700
 112, 2661, -0.359100
 112, 2663, -0.835100
 112, 2666, -0.370700
 112, 2670, -0.123200
 112, 2682, -0.738900
 112, 2710, -0.464000
 112, 2721, -0.629900
 112, 2722, -0.790500
 112, 2742, -0.562500
 112, 2745, -0.798800
 112, 2751, -0.448700
 112, 2752, -0.761500
 112, 2753, -0.325100
 112, 2811, -0.204400
 112, 2812, -0.742100
 112, 2821, -0.488500
 112, 2830, -0.770200
 112, 2840, -0.532200
 112, 2851, -0.176200
 112, 2852, -0.276100
 112, 2862, -0.436900
 112, 2863, -0.575100
 112, 2871, -0.758200
 112, 2872, -0.819900
 112, 2873, -0.853400
 112, 2874, -0.362100
 112, 2875, -0.381300
 112, 2911, -0.652200
 112, 2912, -0.958000
 112, 2913, -0.719400
 112, 2914, -0.558900
 112, 2922, -0.904300
 112, 2923, -0.445100
 112, 2924, -0.598800
 112, 2931, -0.682200
 112, 2932, -0.113100
 112, 2942, -0.641900
 112, 2943, -0.585300
 112, 2951, -0.709100
 112, 2952, -0.648100
 112, 2953, -0.654300
 112, 2954, -0.801900
 112, 2955, -0.542000
 112, 2956, -0.608500
 112, 2971, -0.799300
 112, 2972, -0.337100
 112, 3002, -0.924200
 112, 3110, -0.764800
 112, 3120, -0.495700
 112, 3130, -0.582000
 112, 3140, -0.750300
 112, 3150, -0.441300
 112, 3161, -0.646000
 112, 3162, -0.441700
 112, 3210, -0.685600
 112, 3220, -0.839100
 112, 3230, -0.379300
 112, 3310, -0.651400
 112, 3320, -0.614000
 112, 3340, -0.792800
 112, 3410, -0.780700
 112, 3420, -0.437600
 112, 3430, -0.563600
 112, 3511, -0.570000
 112, 3512, -0.526400
 112, 3520, -0.808300
 112, 3530, -0.771100
 112, 3550, -0.777800
 112, 3611, -0.441600
 112, 3612, -0.597500
 112, 3613, -0.574400
 112, 3614, -0.387300
 112, 3615, -0.667500
 112, 3630, -0.402700
 112, 3650, -0.341100
 112, 3661, -0.258000
 112, 3663, -0.305500
 112, 3710, -0.037900
 112, 3720, 0.150000
 112, 4011, -0.847900
 112, 4013, -0.774000
 112, 4021, -0.421900
 112, 4100, -0.496600
 112, 4511, 0.346000
 112, 4512, -0.696100
 112, 4521, 0.242100
 112, 4522, -0.010700
 112, 4523, 0.483600
 112, 4525, 0.213300
 112, 4531, -0.300800
 112, 4532, -0.223100
 112, 4533, -0.259000
 112, 4534, -0.089600
 112, 4541, -0.143100
 112, 4542, -0.311200
 112, 4543, 0.012800
 112, 4544, -0.095400
 112, 4545, 0.006600
 112, 4550, -0.064200
 112, 5010, -0.591500
 112, 5020, -0.434000
 112, 5030, -0.702500
 112, 5040, -0.713400
 112, 5050, -0.211200
 112, 5111, 0.598600
 112, 5112, -0.665900
 112, 5113, -0.486000
 112, 5114, -0.730900
 112, 5115, -0.382400
 112, 5116, -0.615900
 112, 5117, 0.111800
 112, 5118, -0.660600
 112, 5119, -0.514200
 112, 5121, 0.556300
 112, 5122, 0.954400
 112, 5123, -0.684400
 112, 5124, -0.629200
 112, 5131, 0.711600
 112, 5132, -0.306800
 112, 5133, -0.380000
 112, 5134, -0.113800
 112, 5136, -0.559900
 112, 5137, -0.715300
 112, 5138, -0.318100
 112, 5139, -0.546700
 112, 5141, -0.158100
 112, 5142, -0.923400
 112, 5143, -0.605600
 112, 5144, -0.353100
 112, 5146, -0.925100
 112, 5147, -0.418500
 112, 5151, -0.629300
 112, 5152, -0.576300
 112, 5153, -0.174800
 112, 5154, -0.477700
 112, 5155, -0.296500
 112, 5156, 0.222700
 112, 5157, -0.148800
 112, 5182, -0.492400
 112, 5184, -0.808900
 112, 5187, -0.611700
 112, 5188, -0.234000
 112, 5190, -0.317300
 112, 5211, -0.164900
 112, 5212, -0.319100
 112, 5221, 0.858200
 112, 5222, -0.183200
 112, 5223, -0.488500
 112, 5224, -0.234100
 112, 5225, -0.204300
 112, 5227, 0.359200
 112, 5231, -0.459200
 112, 5232, -0.598700
 112, 5233, -0.594900
 112, 5241, -0.823800
 112, 5242, -0.483400
 112, 5243, -0.636500
 112, 5244, -0.387800
 112, 5245, -0.516100
 112, 5246, 0.587800
 112, 5247, -0.100000
 112, 5248, 0.012300
 112, 5249, 0.855200
 112, 5250, -0.296900
 112, 5261, -0.298300
 112, 5262, 0.704100
 112, 5263, -0.302100
 112, 5272, -0.726800
 112, 5274, -0.807000
 112, 5510, -0.259400
 112, 5521, -0.164400
 112, 5522, -0.718900
 112, 5523, -0.507900
 112, 5530, 0.032200
 112, 5540, -0.362800
 112, 5551, -0.323300
 112, 5552, -0.367100
 112, 6010, -0.773700
 112, 6021, -0.443700
 112, 6022, -0.229300
 112, 6023, -0.142100
 112, 6024, -0.162400
 112, 6110, -0.491600
 112, 6120, -0.733800
 112, 6311, -0.087900
 112, 6312, -0.174400
 112, 6321, -0.738200
 112, 6323, -0.730400
 112, 6330, -0.316400
 112, 6340, -0.154200
 112, 6411, -0.674500
 112, 6412, -0.186700
 112, 6430, -0.926900
 112, 6512, -0.883000
 112, 6521, -0.794900
 112, 6601, -0.862600
 112, 6603, -0.850100
 112, 6713, -0.784400
 112, 6720, -0.666500
 112, 7011, -0.373500
 112, 7020, -0.142300
 112, 7031, -0.607000
 112, 7032, -0.122800
 112, 7110, -0.642500
 112, 7121, 0.102800
 112, 7131, 0.049700
 112, 7132, -0.600900
 112, 7134, -0.636500
 112, 7140, -0.055900
 112, 7210, -0.778800
 112, 7221, -0.619300
 112, 7222, -0.869500
 112, 7230, -0.933900
 112, 7260, -0.811900
 112, 7310, -0.570800
 112, 7411, -0.908600
 112, 7412, -0.391400
 112, 7414, -0.693100
 112, 7415, -0.713900
 112, 7420, -0.598700
 112, 7430, -0.729700
 112, 7440, -0.493600
 112, 7460, -0.144700
 112, 7470, 0.170100
 112, 7481, -0.433200
 112, 7482, 0.469700
 112, 7485, -0.399900
 112, 7486, -0.529700
 112, 7487, -0.065300
 112, 7511, 0.237900
 112, 7512, -0.382400
 112, 7513, -0.179900
 112, 7514, 0.066400
 112, 7522, -0.223700
 112, 7523, -0.500800
 112, 7524, -0.602900
 112, 7525, -0.746600
 112, 7530, -0.487300
 112, 8010, -0.615800
 112, 8021, -0.586700
 112, 8022, -0.204300
 112, 8030, -0.377400
 112, 8041, -0.422800
 112, 8042, -0.205000
 112, 8511, -0.449100
 112, 8512, -0.598800
 112, 8513, -0.588400
 112, 8514, -0.542400
 112, 8520, -0.175700
 112, 8531, -0.114500
 112, 8532, -0.249000
 112, 9001, -0.152600
 112, 9002, 0.118200
 112, 9003, 0.017000
 112, 9111, -0.056700
 112, 9112, -0.785300
 112, 9131, -0.247800
 112, 9132, -0.733100
 112, 9133, -0.015300
 112, 9220, -0.906000
 112, 9231, -0.872400
 112, 9232, -0.676300
 112, 9233, 0.075100
 112, 9234, -0.526500
 112, 9252, -0.052800
 112, 9253, 0.259600
 112, 9261, 0.012100
 112, 9262, 0.179600
 112, 9271, -0.197000
 112, 9272, 0.124300
 112, 9301, 0.279700
 112, 9302, -0.279600
 112, 9303, 0.541200
 112, 9304, -0.213200
 112, 9305, -0.251000
 113, 111, 0.799100
 113, 112, 0.881400
 113, 121, 0.322800
 113, 122, -0.272400
 113, 124, -0.241700
 113, 130, 0.889400
 113, 141, 0.649000
 113, 201, 0.065800
 113, 202, -0.055700
 113, 1030, -0.607300
 113, 1120, -0.646000
 113, 1411, -0.377800
 113, 1421, -0.403700
 113, 1511, -0.684000
 113, 1512, -0.284400
 113, 1513, 0.128200
 113, 1532, 0.473100
 113, 1533, 0.383000
 113, 1551, -0.399800
 113, 1561, -0.305400
 113, 1562, -0.251100
 113, 1571, -0.664000
 113, 1581, 0.286100
 113, 1582, -0.337200
 113, 1583, -0.609000
 113, 1584, 0.033700
 113, 1587, -0.314300
 113, 1589, -0.724200
