id1, desc1, id5, desc5, x-coord, y-coord 
 4, "Manufacturing", 2320, "Manufacture of refined petroleum products", -150.6051, 128.6486
 4, "Manufacturing", 2330, "Processing of nuclear fuel", -88.2809, 184.8638
 4, "Manufacturing", 2411, "Manufacture of industrial gases", 39.4828, 29.7280
 4, "Manufacturing", 2412, "Manufacture of dyes and pigments", NaN, NaN
 4, "Manufacturing", 2413, "Manufacture of other inorganic basic chemicals", 110.5373, 199.7485
 4, "Manufacturing", 2414, "Manufacture of other organic basic chemicals", -74.0481, 99.7022
 4, "Manufacturing", 2415, "Manufacture of fertilizers and nitrogen compounds", 229.5738, -141.5340
 4, "Manufacturing", 2416, "Manufacture of plastics in primary forms", -9.4501, 241.8155
 4, "Manufacturing", 2417, "Manufacture of synthetic rubber in primary forms", NaN, NaN
 4, "Manufacturing", 2420, "Manufacture of pesticides and other agro-chemical products", -49.6736, 252.4849
 4, "Manufacturing", 2430, "Manufacture of paints, varnishes and similar coatings, printing ink and mastics", 18.8913, 79.9440
 4, "Manufacturing", 2441, "Manufacture of basic pharmaceutical products", -53.4688, 96.8712
 4, "Manufacturing", 2442, "Manufacture of pharmaceutical preparations", -62.9258, 132.9966
 4, "Manufacturing", 2451, "Manufacture of soap and detergents, cleaning and polishing preparations", -104.8012, 225.3816
 4, "Manufacturing", 2452, "Manufacture of perfumes and toilet preparations", -112.4496, 206.7142
 4, "Manufacturing", 2461, "Manufacture of explosives", 147.9498, 256.9602
 4, "Manufacturing", 2462, "Manufacture of glues and gelatines", 83.5262, -54.2556
 4, "Manufacturing", 2463, "Manufacture of essential oils", -148.3925, 122.9004
 4, "Manufacturing", 2464, "Manufacture of photographic chemical material", NaN, NaN
 4, "Manufacturing", 2465, "Manufacture of prepared unrecorded media", -25.2933, -77.0302
 4, "Manufacturing", 2466, "Manufacture of other chemical products n.e.c.", -75.4308, 164.5358
 4, "Manufacturing", 2470, "Manufacture of man-made fibres", 152.8141, 33.8669
 4, "Manufacturing", 2511, "Manufacture of rubber tyres and tubes", NaN, NaN
 4, "Manufacturing", 2512, "Retreading and rebuilding of rubber tyres", NaN, NaN
 4, "Manufacturing", 2513, "Manufacture of other rubber products", 83.4286, 176.4319
 4, "Manufacturing", 2521, "Manufacture of plastic plates, sheets, tubes and profiles", 30.4828, 203.5925
 4, "Manufacturing", 2522, "Manufacture of plastic packing goods", 22.0556, 116.5081
 4, "Manufacturing", 2523, "Manufacture of builders' ware of plastic", 195.6937, 162.7728
 4, "Manufacturing", 2524, "Manufacture of other plastic products", 53.4494, 212.5192
 4, "Manufacturing", 2611, "Manufacture of flat glass", 393.0480, 150.0931
 4, "Manufacturing", 2612, "Shaping and processing of flat glass", 263.5085, 102.3402
 4, "Manufacturing", 2613, "Manufacture of hollow glass", 175.9153, -243.6450
 4, "Manufacturing", 2614, "Manufacture of glass fibres", -311.6433, 178.9235
 4, "Manufacturing", 2615, "Manufacture and processing of other glass, including technical glassware", 295.7673, 184.2463
 4, "Manufacturing", 2621, "Manufacture of ceramic household and ornamental articles", -101.6716, -156.6401
 4, "Manufacturing", 2622, "Manufacture of ceramic sanitary fixtures", NaN, NaN
 4, "Manufacturing", 2623, "Manufacture of ceramic insulators and insulating fittings", NaN, NaN
 4, "Manufacturing", 2624, "Manufacture of other technical ceramic products", NaN, NaN
 4, "Manufacturing", 2625, "Manufacture of other ceramic products", NaN, NaN
 4, "Manufacturing", 2626, "Manufacture of refractory ceramic products", NaN, NaN
 4, "Manufacturing", 2630, "Manufacture of ceramic tiles and flags", 383.2648, 58.6133
 4, "Manufacturing", 2640, "Manufacture of bricks, tiles and construction products, in baked clay", 393.8148, 74.9082
 4, "Manufacturing", 2651, "Manufacture of cement", 120.6473, 152.5475
 4, "Manufacturing", 2652, "Manufacture of lime", NaN, NaN
 4, "Manufacturing", 2653, "Manufacture of plaster", NaN, NaN
 4, "Manufacturing", 2661, "Manufacture of concrete products for construction purposes", 335.5034, 55.3560
 4, "Manufacturing", 2662, "Manufacture of plaster products for construction purposes", 215.8281, 154.5188
 4, "Manufacturing", 2663, "Manufacture of ready-mixed concrete", 337.8818, -3.2200
 4, "Manufacturing", 2664, "Manufacture of mortars", -143.2905, 49.5872
 4, "Manufacturing", 2665, "Manufacture of fibre cement", 233.0046, -88.7103
 4, "Manufacturing", 2666, "Manufacture of other articles of concrete, plaster and cement", 352.0987, -1.6282
 4, "Manufacturing", 2670, "Cutting, shaping and finishing of ornamental and building stone", 294.7034, 49.2476
 4, "Manufacturing", 2681, "Production of abrasive products", 7.5339, 186.8724
 4, "Manufacturing", 2682, "Manufacture of other non-metallic mineral products n.e.c.", 382.6092, -2.3055
 4, "Manufacturing", 2710, "Manufacture of basic iron and steel and of ferro-alloys ", 260.4510, 229.0578
 4, "Manufacturing", 2721, "Manufacture of cast iron tubes", 371.8605, 166.0072
 4, "Manufacturing", 2722, "Manufacture of steel tubes", 246.3336, 244.5790
 4, "Manufacturing", 2731, "Cold drawing", NaN, NaN
 4, "Manufacturing", 2732, "Cold rolling of narrow strip", NaN, NaN
 4, "Manufacturing", 2733, "Cold forming or folding", NaN, NaN
 4, "Manufacturing", 2734, "Wire drawing", NaN, NaN
 4, "Manufacturing", 2741, "Precious metals production", NaN, NaN
 4, "Manufacturing", 2742, "Aluminium production", 116.0232, 313.3673
 4, "Manufacturing", 2743, "Lead, zinc and tin production", NaN, NaN
 4, "Manufacturing", 2744, "Copper production", 262.9503, -154.3672
 4, "Manufacturing", 2745, "Other non-ferrous metal production", NaN, NaN
 4, "Manufacturing", 2751, "Casting of iron", 247.3525, 280.4094
 4, "Manufacturing", 2752, "Casting of steel", 392.9889, 80.9918
 4, "Manufacturing", 2753, "Casting of light metals", 197.5484, 292.4758
 4, "Manufacturing", 2754, "Casting of other non-ferrous metals", NaN, NaN
 4, "Manufacturing", 2811, "Manufacture of metal structures and parts of structures", 216.2871, 208.2143
 4, "Manufacturing", 2812, "Manufacture of builders' carpentry and joinery of metal", 251.1592, 208.5408
 4, "Manufacturing", 2821, "Manufacture of tanks, reservoirs and containers of metal", 196.9740, 231.8547
 4, "Manufacturing", 2822, "Manufacture of central heating radiators and boilers", 202.8727, 123.1492
 4, "Manufacturing", 2830, "Manufacture of steam generators, except central heating hot water boilers", NaN, NaN
 4, "Manufacturing", 2840, "Forging, pressing, stamping and roll forming of metal; powder metallurgy", 241.5310, 271.2564
 4, "Manufacturing", 2851, "Treatment and coating of metals", 176.7620, 183.8976
 4, "Manufacturing", 2852, "General mechanical engineering", 179.7643, 219.3824
 4, "Manufacturing", 2861, "Manufacture of cutlery", NaN, NaN
 4, "Manufacturing", 2862, "Manufacture of tools", 92.9571, 266.5324
 4, "Manufacturing", 2863, "Manufacture of locks and hinges", 277.7885, 212.4854
 4, "Manufacturing", 2871, "Manufacture of steel drums and similar containers", NaN, NaN
 4, "Manufacturing", 2872, "Manufacture of light metal packaging", -44.5359, 256.1970
 4, "Manufacturing", 2873, "Manufacture of wire products", 280.4427, 42.7846
 4, "Manufacturing", 2874, "Manufacture of fasteners, screw machine products, chain and springs", 18.4887, 268.7446
 4, "Manufacturing", 2875, "Manufacture of other fabricated metal products n.e.c.", 162.0055, 221.8735
 4, "Manufacturing", 2911, "Manufacture of engines and turbines, except aircraft, vehicle and cycle engines", 259.6078, 255.3575
 4, "Manufacturing", 2912, "Manufacture of pumps and compressors", 81.1723, 256.2615
 4, "Manufacturing", 2913, "Manufacture of taps and valves", 51.5517, 250.2092
 4, "Manufacturing", 2914, "Manufacture of bearings, gears, gearing and driving elements", 135.7458, 308.9029
 4, "Manufacturing", 2921, "Manufacture of furnaces and furnace burners", 102.0749, 148.3782
 4, "Manufacturing", 2922, "Manufacture of lifting and handling equipment", 218.8469, 180.2721
 4, "Manufacturing", 2923, "Manufacture of non-domestic cooling and ventilation equipment", 248.9571, 226.7530
 4, "Manufacturing", 2924, "Manufacture of other general purpose machinery n.e.c.", 114.2452, 241.9744
 4, "Manufacturing", 2931, "Manufacture of agricultural tractors", NaN, NaN
 4, "Manufacturing", 2932, "Manufacture of other agricultural and forestry machinery", 250.4634, 102.7707
 4, "Manufacturing", 2941, "Manufacture of portable hand held power tools", 144.5185, 134.4767
 4, "Manufacturing", 2942, "Manufacture of other metalworking machine tools", 95.8939, 217.6895
 4, "Manufacturing", 2943, "Manufacture of other machine tools n.e.c.", 78.8025, 284.9660
 4, "Manufacturing", 2951, "Manufacture of machinery for metallurgy", NaN, NaN
 4, "Manufacturing", 2952, "Manufacture of machinery for mining, quarrying and construction", 248.3090, 139.2728
 4, "Manufacturing", 2953, "Manufacture of machinery for food, beverage and tobacco processing", 193.3497, 252.8294
 4, "Manufacturing", 2954, "Manufacture of machinery for textile, apparel and leather production", NaN, NaN
 4, "Manufacturing", 2955, "Manufacture of machinery for paper and paperboard production", NaN, NaN
 4, "Manufacturing", 2956, "Manufacture of other special purpose machinery n.e.c.", 82.4189, 236.9274
 4, "Manufacturing", 2960, "Manufacture of weapons and ammunition", NaN, NaN
 4, "Manufacturing", 2971, "Manufacture of electric domestic appliances", 129.0193, 282.3839
 4, "Manufacturing", 2972, "Manufacture of non-electric domestic appliances", -113.5589, 194.6996
 4, "Manufacturing", 3001, "Manufacture of office machinery", -277.8953, 121.2595
 4, "Manufacturing", 3002, "Manufacture of computers and other information processing equipment", -186.6680, 172.0594
 4, "Manufacturing", 3110, "Manufacture of electric motors, generators and transformers", 0.9570, 126.0394
 4, "Manufacturing", 3120, "Manufacture of electricity distribution and control apparatus", 43.5753, 235.3705
 4, "Manufacturing", 3130, "Manufacture of insulated wire and cable", -44.1973, 250.5471
 4, "Manufacturing", 3140, "Manufacture of accumulators, primary cells and primary batteries", 142.1614, 254.3022
 4, "Manufacturing", 3150, "Manufacture of lighting equipment and electric lamps", 79.0270, 216.7959
 4, "Manufacturing", 3161, "Manufacture of electrical equipment for engines and vehicles n.e.c.", 53.4284, 144.9757
 4, "Manufacturing", 3162, "Manufacture of other electrical equipment n.e.c.", 14.5255, 251.0146
 4, "Manufacturing", 3210, "Manufacture of electronic valves and tubes and other electronic components", -69.6238, 207.5217
 4, "Manufacturing", 3220, "Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy", -229.7380, 189.4818
 4, "Manufacturing", 3230, "Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods", -29.6301, 126.7552
 4, "Manufacturing", 3310, "Manufacture of medical and surgical equipment and orthopaedic appliances", -21.4231, 188.1066
 4, "Manufacturing", 3320, "Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment", -13.6233, 251.5447
 4, "Manufacturing", 3330, "Manufacture of industrial process control equipment", 140.7524, 233.8809
 4, "Manufacturing", 3340, "Manufacture of optical instruments and photographic equipment", -43.6132, 219.6295
 4, "Manufacturing", 3350, "Manufacture of watches and clocks", NaN, NaN
 4, "Manufacturing", 3410, "Manufacture of motor vehicles", 132.1024, -15.1570
 4, "Manufacturing", 3420, "Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers", 220.7415, 137.1461
 4, "Manufacturing", 3430, "Manufacture of parts and accessories for motor vehicles and their engines", 76.1938, 161.5193
 4, "Manufacturing", 3511, "Building and repairing of ships", 281.0951, 222.5829
 4, "Manufacturing", 3512, "Building and repairing of pleasure and sporting boats", 80.2019, 54.0799
 4, "Manufacturing", 3520, "Manufacture of railway and tramway locomotives and rolling stock", NaN, NaN
 4, "Manufacturing", 3530, "Manufacture of aircraft and spacecraft", -48.5486, 200.8370
 4, "Manufacturing", 3541, "Manufacture of motorcycles", NaN, NaN
 4, "Manufacturing", 3542, "Manufacture of bicycles", NaN, NaN
 4, "Manufacturing", 3543, "Manufacture of invalid carriages", NaN, NaN
 4, "Manufacturing", 3550, "Manufacture of other transport equipment n.e.c.", NaN, NaN
 4, "Manufacturing", 3611, "Manufacture of chairs and seats", 96.9054, -35.6428
 4, "Manufacturing", 3612, "Manufacture of other office and shop furniture", 197.4872, 109.2936
 4, "Manufacturing", 3613, "Manufacture of other kitchen furniture", 207.5691, 84.1118
 4, "Manufacturing", 3614, "Manufacture of other furniture", 202.5090, 39.2087
 4, "Manufacturing", 3615, "Manufacture of mattresses", 218.0417, -14.4458
 4, "Manufacturing", 3621, "Striking of coins ", NaN, NaN
 4, "Manufacturing", 3622, "Manufacture of jewellery and related articles n.e.c.", -69.2174, 40.1496
 4, "Manufacturing", 3630, "Manufacture of musical instruments", NaN, NaN
 4, "Manufacturing", 3640, "Manufacture of sports goods", -468.0902, 122.3996
 4, "Manufacturing", 3650, "Manufacture of games and toys", 0.8464, 221.4811
 4, "Manufacturing", 3661, "Manufacture of imitation jewellery", -95.4671, -156.9732
 4, "Manufacturing", 3662, "Manufacture of brooms and brushes", -154.7746, 124.2438
 4, "Manufacturing", 3663, "Other manufacturing n.e.c.", 123.3945, 206.2906
 4, "Manufacturing", 3710, "Recycling of metal waste and scrap", 220.2654, 6.0230
 4, "Manufacturing", 3720, "Recycling of non-metal waste and scrap", 210.1984, -89.6963
 5, "Electricity, gas and water supply", 4011, "Production of electricity", -21.6916, 161.4852
 5, "Electricity, gas and water supply", 4012, "Transmission of electricity", NaN, NaN
 5, "Electricity, gas and water supply", 4013, "Distribution and trade of electricity", -155.1540, 99.9839
 5, "Electricity, gas and water supply", 4021, "Manufacture of gas", NaN, NaN
 5, "Electricity, gas and water supply", 4022, "Distribution and trade of gaseous fuels through mains", -157.4297, 74.0126
 5, "Electricity, gas and water supply", 4030, "Steam and hot water supply", NaN, NaN
 5, "Electricity, gas and water supply", 4100, "Collection, purification and distribution of water", 59.3747, 238.9261
 6, "Construction", 4511, "Demolition and wrecking of buildings; earth moving", 307.4539, 10.2532
 6, "Construction", 4512, "Test drilling and boring", 372.5809, 118.4615
 6, "Construction", 4521, "General construction of buildings and civil engineering works", 308.3202, 61.1472
 6, "Construction", 4522, "Erection of roof covering and frames", 330.4329, 96.7920
 6, "Construction", 4523, "Construction of motorways, roads, airfields and sport facilities", 352.9740, 15.3064
 6, "Construction", 4524, "Construction of water projects", 279.5127, 64.3614
 6, "Construction", 4525, "Other construction work involving special trades", 305.9013, 121.1034
 6, "Construction", 4531, "Installation of electrical wiring and fittings", 136.1614, 178.9008
 6, "Construction", 4532, "Insulation work activities", 322.4040, 149.5486
 6, "Construction", 4533, "Plumbing", 242.1820, 173.2794
 6, "Construction", 4534, "Other building installation", 293.7252, 113.0286
 6, "Construction", 4541, "Plastering", 365.5355, 82.9771
 6, "Construction", 4542, "Joinery installation", 324.9998, 114.0914
 6, "Construction", 4543, "Floor and wall covering", 259.3668, 74.3484
 6, "Construction", 4544, "Painting and glazing", 296.2711, 149.1049
 6, "Construction", 4545, "Other building completion", 344.2513, 128.9882
 6, "Construction", 4550, "Renting of construction or demolition equipment with operator", 309.5750, 28.1635
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5010, "Sale of motor vehicles", 114.6268, -35.0546
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5020, "Maintenance and repair of motor vehicles", 148.0890, 18.6072
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5030, "Sale of motor vehicle parts and accessories", 132.7722, 46.9851
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5040, "Sale, maintenance and repair of motorcycles and related parts and accessories", 62.3047, -64.1448
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5050, "Retail sale of automotive fuel", 18.0754, -227.1738
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5111, "Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods", 165.8532, -92.3988
 7, "Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", 5112, "Agents involved in the sale of fuels, ores, metals and industrial chemicals", 93.8651, -6.5315
